state,trump_count,clinton_count,total_count
alabama,1306925,"718,084",2060000
alaska,"130,415","93,007",315000
arizona,1017166,933655,2250000
arkansas,677904,378729,1125000
california,3021095,5589936,11000000
colorado,1136354,1208095,2600000
connecticut,627919,823360,1500000
delaware,185103,235581,445000
district_of_columbia,11553,260223,281000
florida,4605515,4485745,9350000
georgia,2068623,1837300,4025000
hawaii,121648,251853,380000
idaho,407199,189677,610000
illinois,2118179,2977498,5375000
indiana,1556220,1031953,2710000
iowa,798923,650790,1550000
kansas,656009,414788,1075000
kentucky,1202942,628834,1925000
louisana,1178004,779535,2030000
maine,334838,354873,725000
maryland,873646,1497951,2500000
massachusetts,1083069,1964768,3075000
michigan,2279221,2267798,4650000
minnesota,1322891,1366676,2700000
mississippi,678457,462001,1150000
missouri,1585753,1054889,2800000
montana,274120,174521,430000
nebraska,485819,273858,800000
nevada,511319,537753,1150000
new_hampshire,345789,348521,715000
new_jersey,1535513,2021756,3700000
new_mexico,315875,380724,800000
new_york,2640570,4143874,7000000
new_carolina,2339603,2162074,4650000
north_dakota,216133,93526,337000
ohio,2771984,2317001,5400000
oklahoma,947934,419788,1455000
oregon,742506,934631,1925000
pennsylvania,2912941,2844705,5975000
rhode_island,179421,249902,415000
south_carolina,1143611,849469,2000000
south_dakota,227701,117442,370000
tennessee,1517402,867110,2500000
texas,4681590,3867716,8750000
utah,452086,274188,975000
vermont,95050,178117,285000
virginia,1731156,1916845,3925000
washington,950710,1364934,3200000
west_virginia,486198,187457,705000
wisconsin,1409467,1382210,2925000
wyoming,174248,55949,250000
